"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"46","1c:ab:c0:da:53:99","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"47","a6:b1:e9:45:36:9e","qua","MEO-WiFi","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"48","00:26:5b:ba:eb:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 10:45:48","37.1365","-8.53776"
"49","22:27:22:cf:a4:a0","qua","CMP User","1","19-07-2017 at 17:15:46","37.136","-8.53653"
"50","cc:fd:17:80:c8:f6","qua","NOS_Internet_Movel_C8F6","0","19-07-2017 at 17:15:46","37.136","-8.53653"
"51","12:27:22:cf:a4:a0","qua","CMP Privado","0","19-07-2017 at 17:15:46","37.136","-8.53653"
"52","00:1a:dd:2f:0f:0c","qua","PEPWAVE_926C","0","19-07-2017 at 17:15:46","37.136","-8.53653"
"53","02:27:22:cf:a4:a0","qua","CMP Publico","0","19-07-2017 at 17:15:46","37.136","-8.53653"
"54","00:fc:8d:bd:61:09","qua","NOS_WIFI_Fon","0","19-07-2017 at 17:06:22","37.1351","-8.53795"
"55","08:76:ff:84:8a:25","qua","Thomson848A25","0","19-07-2017 at 16:00:52","37.1369","-8.5388"
"56","00:fc:8d:bd:61:08","qua","CyNaiLs","0","19-07-2017 at 17:06:22","37.1351","-8.53795"
"57","00:e0:3c:30:f3:e7","qua","Connectify-H_Raqui","0","19-07-2017 at 17:08:00","37.1351","-8.53795"
"58","98:de:d0:b9:3e:46","qua","TP-LINK_3E46","0","19-07-2017 at 17:15:46","37.136","-8.53653"
"59","84:94:8c:66:ec:08","qua","ZON-EC00","0","19-07-2017 at 17:00:06","37.1351","-8.53795"
"60","84:94:8c:a4:8c:98","qua","NOS-8C90","0","19-07-2017 at 16:03:12","37.136","-8.53946"
"61","84:94:8c:66:ec:09","qua","NOS_WIFI_Fon","0","19-07-2017 at 17:00:06","37.1351","-8.53795"
"62","48:3c:0c:b1:9d:9a","qua","MEO-B19D9A","0","19-07-2017 at 11:51:06","37.1369","-8.5388"
"63","00:05:ca:d8:9c:38","qua","ZON-9C30","0","19-07-2017 at 09:28:42","37.1404","-8.52887"
"64","58:98:35:55:5e:df","qua","MiniSom","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"65","58:98:35:7f:72:41","qua","TELEPAC","0","19-07-2017 at 14:29:43","37.1359","-8.53952"
"66","84:5b:12:4e:72:9a","qua","MiniSom_Shop","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"67","68:b6:fc:5a:29:38","qua","ZON-2930","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"68","68:b6:fc:5a:29:39","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"69","92:2a:a8:94:6b:b5","qua","CMP User","0","19-07-2017 at 17:21:22","37.1355","-8.53715"
"70","fe:9f:db:83:98:3f","qua","CMP User","0","19-07-2017 at 17:18:19","37.1349","-8.53532"
"71","80:2a:a8:94:6b:b5","qua","CMP Publico","0","19-07-2017 at 17:21:22","37.1355","-8.53715"
"72","00:fc:8d:68:fd:58","qua","halcon","0","19-07-2017 at 09:37:06","37.1371","-8.53845"
"73","00:fc:8d:68:fd:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:37:06","37.1371","-8.53845"
"74","d2:5b:a8:37:e7:a3","qua","MEO-37E7A3","0","19-07-2017 at 17:25:51","37.1363","-8.56133"
"75","58:98:35:b8:fa:03","qua","MEO-B8FA03","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"76","f0:f2:49:d7:ed:18","qua","NOS-ED10","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"77","e8:74:e6:5a:e9:62","qua","ADSLPT-AB21285","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"78","84:94:8c:f3:fb:c8","qua","INNOVA","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"79","00:1d:1c:f3:ef:0c","qua","Vodafone-003665","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"80","00:26:44:77:9d:b9","qua","Thomson779DB9","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"81","02:9f:c2:b5:64:8e","qua","AA_Guest","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
"82","84:94:8c:f3:fb:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:37:32","37.1371","-8.53845"
