"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"572","f8:23:b2:7b:53:f4","ter","Me❤","0","18-07-2017 at 17:34:37","37.1366","-8.53726"
"573","3e:fa:43:3f:10:39","ter","HUAWEI_CUN-L21_0BAC","0","18-07-2017 at 15:09:29","37.1366","-8.53726"
"574","e4:8d:8c:49:b9:09","ter","WiFi TRANSOL 123","0","18-07-2017 at 15:46:14","37.1366","-8.53726"
"575","d2:5b:a8:ca:80:85","ter","MEO-CA8085","0","18-07-2017 at 16:22:38","37.1366","-8.53726"
"576","00:1a:dd:2f:0f:0c","ter","PEPWAVE_926C","0","18-07-2017 at 17:44:31","37.1358","-8.53829"
"577","f0:ab:54:64:c4:c7","ter","WiFi Hotspot 3155","0","18-07-2017 at 17:39:34","37.1366","-8.53726"
"578","f2:9f:c2:b5:64:8e","ter","AudicaoActiva IN","0","18-07-2017 at 17:44:08","37.1358","-8.53829"
"579","00:1d:1c:f3:ef:0c","ter","Vodafone-003665","0","18-07-2017 at 17:43:18","37.1358","-8.53829"
"580","00:05:ca:e7:6a:08","ter","ZON-6A00","0","18-07-2017 at 17:43:44","37.1358","-8.53829"
"581","58:98:35:b8:fa:03","ter","MEO-B8FA03","0","18-07-2017 at 17:43:44","37.1358","-8.53829"
"582","02:9f:c2:b5:64:8e","ter","AA_Guest","0","18-07-2017 at 17:44:31","37.1358","-8.53829"
"583","c4:6e:1f:a2:47:20","ter","Pipoca-wireless ","0","18-07-2017 at 17:43:44","37.1358","-8.53829"
"584","00:05:ca:e7:6a:09","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:43:45","37.1358","-8.53829"
"585","68:b6:fc:5a:29:39","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:43:45","37.1358","-8.53829"
"586","bc:14:01:a5:da:88","ter","ZON-DA80","0","18-07-2017 at 17:44:59","37.1358","-8.53829"
"587","30:91:8f:92:70:d1","ter","MEO-9270D1","0","18-07-2017 at 17:45:46","37.1364","-8.53932"
"588","32:91:8f:92:70:d2","ter","MEO-WiFi","0","18-07-2017 at 17:45:46","37.1364","-8.53932"
"589","00:05:ca:8c:4a:98","ter","ZON","0","18-07-2017 at 17:46:33","37.1364","-8.53932"
"590","f0:f2:49:97:c0:28","ter","NOS-C020","0","18-07-2017 at 17:46:33","37.1364","-8.53932"
"591","9e:97:26:69:7a:f8","ter","MEO-WiFi","0","18-07-2017 at 17:46:34","37.1364","-8.53932"
"592","f0:f2:49:97:c0:29","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:46:34","37.1364","-8.53932"
"593","7c:03:4c:ff:10:0b","ter","Cabovisao-4008","0","18-07-2017 at 17:46:34","37.1364","-8.53932"
"594","00:05:ca:cb:be:38","ter","Cervej Portimonense","0","18-07-2017 at 17:46:34","37.1364","-8.53932"
"595","00:05:ca:cb:be:39","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:46:34","37.1364","-8.53932"
"596","b8:08:d7:9b:d8:c0","ter","VodafoneMobileWiFi-D8C043","0","18-07-2017 at 17:47:24","37.1341","-8.53932"
"597","bc:14:01:af:db:e8","ter","ZON-DBE0","0","18-07-2017 at 17:49:02","37.1351","-8.54"
"598","0c:47:3d:0d:7a:88","ter","ZON-7A80","0","18-07-2017 at 17:48:38","37.1341","-8.53932"
"599","bc:14:01:af:db:e9","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:49:02","37.1351","-8.54"
"600","00:05:ca:84:a2:78","ter","ZON-40F0","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"601","a4:b1:e9:9f:fa:0e","ter","Piny","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"602","00:05:ca:79:46:78","ter","ZON-4670","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"603","00:05:ca:84:a2:79","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"604","a6:b1:e9:9f:fa:0f","ter","MEO-WiFi","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"605","e2:b9:e5:b5:d8:7a","ter","MEO-WiFi","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"606","00:05:ca:6a:6e:d8","ter","Varela","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"607","68:b6:fc:ea:8c:58","ter","ZON-8C50","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"608","68:b6:fc:ea:8c:59","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:49:03","37.1351","-8.54"
"609","84:94:8c:7d:71:b9","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"610","00:05:ca:bf:1c:38","ter","ZON-1C30","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"611","64:77:7d:2b:34:18","ter","NOS-3410","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"612","1c:ab:c0:1f:f5:f8","ter","RuiMarques","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"613","00:8c:54:a8:71:b2","ter","ADSLPT-AB48021","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"614","00:05:ca:bf:1c:39","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"615","fa:8f:ca:3d:93:7c","ter","Unknown","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"616","64:77:7d:2b:34:19","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:49:57","37.1385","-8.54245"
"617","1c:ab:c0:1f:f5:f9","ter","NOS_WIFI_Fon","0","18-07-2017 at 17:49:58","37.1385","-8.54245"
